Accessions,Mother,Location,Date,Height,rockdust,section
S107,Mel_704,T6B2,20/09/18,3.5,n,Adnataria
S108,Mel_704,T6B3,20/09/18,0.4,y,Adnataria
S109,Mel_704,T6B4,20/09/18,0.9,n,Adnataria
S110,Mel_704,T6B5,20/09/18,0,y,Adnataria
S111,Mel_704,T6C1,20/09/18,0,n,Adnataria
S112,Mel_704,T6C2,20/09/18,1.9,y,Adnataria
S113,Mel_704,T6C3,20/09/18,2,n,Adnataria
S114,Mel_704,T6C4,20/09/18,3.4,y,Adnataria
S115,Mel_704,T6C5,20/09/18,2.4,n,Adnataria
S116,Mel_704,T6D1,20/09/18,1.5,y,Adnataria
S117,Mel_704,T6D2,20/09/18,0,n,Adnataria
S118,Mel_704,T6D3,20/09/18,4.6,y,Adnataria
S119,Mel_704,T6D4,20/09/18,3,n,Adnataria
S120,Mel_704,T6D5,20/09/18,2.6,y,Adnataria
S121,Colour checker,T7A1,20/09/18,,,
S122,Sid_ABG,T7A2,20/09/18,4.4,n,Adnataria
S123,Sid_ABG,T7A3,20/09/18,3.4,y,Adnataria
S124,Sid_ABG,T7A4,20/09/18,7.3,n,Adnataria
S125,Sid_ABG,T7A5,20/09/18,0,y,Adnataria
S126,Sid_ABG,T7B1,20/09/18,0,n,Adnataria
S127,Sid_ABG,T7B2,20/09/18,2,y,Adnataria
S128,Sid_ABG,T7B3,20/09/18,1,n,Adnataria
S129,Sid_ABG,T7B4,20/09/18,3.5,y,Adnataria
S130,Sid_ABG,T7B5,20/09/18,2.7,n,Adnataria
S131,Sid_ABG,T7C1,20/09/18,1.7,y,Adnataria
S132,Sid_ABG,T7C2,20/09/18,1.5,n,Adnataria
S133,Sid_ABG,T7C3,20/09/18,3.5,y,Adnataria
S134,Sid_ABG,T7C4,20/09/18,0,n,Adnataria
S135,Sid_ABG,T7C5,20/09/18,6,y,Adnataria
S136,Sid_ABG,T7D1,20/09/18,5.2,n,Adnataria
S137,Sid_ABG,T7D2,20/09/18,0,y,Adnataria
S138,Sid_ABG,T7D3,20/09/18,2.3,n,Adnataria
S139,Sid_ABG,T7D4,20/09/18,0,y,Adnataria
S140,Sid_ABG,T7D5,20/09/18,2.3,n,Adnataria
S141,MelxSid_1505,T8A1,20/09/18,0,n,Adnataria
S142,MelxSid_1505,T8A2,20/09/18,3.6,y,Adnataria
S143,MelxSid_1505,T8A3,20/09/18,6.4,n,Adnataria
S144,MelxSid_1505,T8A4,20/09/18,4.2,y,Adnataria
S145,MelxSid_1505,T8A5,20/09/18,8,n,Adnataria
S146,MelxSid_1506,T8B1,20/09/18,0,y,Adnataria
S147,MelxSid_1506,T8B2,20/09/18,2.8,n,Adnataria
S148,MelxSid_1506,T8B3,20/09/18,3.6,y,Adnataria
S149,MelxSid_1506,T8B4,20/09/18,4.3,n,Adnataria
S150,MelxSid_1506,T8B5,20/09/18,0,y,Adnataria
S151,MelxSid_1507,T8C1,20/09/18,4.3,n,Adnataria
S152,MelxSid_1507,T8C2,20/09/18,5.2,y,Adnataria
S153,MelxSid_1507,T8C3,20/09/18,1.2,n,Adnataria
